,ds,y
1151,2019-02-25,8440
1152,2019-02-26,2809
1153,2019-02-27,7514
1154,2019-02-28,1072
1155,2019-03-01,9513
1156,2019-03-02,2206
1157,2019-03-03,7640
1158,2019-03-04,6626
1159,2019-03-05,11885
1160,2019-03-06,8751
1161,2019-03-07,2668
1162,2019-03-08,2110
1163,2019-03-09,5038
1164,2019-03-10,6743
1165,2019-03-11,10457
1166,2019-03-12,9765
1167,2019-03-13,10372
1168,2019-03-14,3864
1169,2019-03-15,10452
1170,2019-03-16,11811
1171,2019-03-17,11388
1172,2019-03-18,11753
1173,2019-03-19,4017
1174,2019-03-20,7579
1175,2019-03-21,12606
1176,2019-03-22,13684
1177,2019-03-23,12576
1178,2019-03-24,5759
1179,2019-03-25,10929
1180,2019-03-26,13975
1181,2019-03-27,13507
1182,2019-03-28,12722
1183,2019-03-29,8844
1184,2019-03-30,5305
1185,2019-03-31,13113
1186,2019-04-01,2046
1187,2019-04-02,14118
1188,2019-04-03,12604
1189,2019-04-04,2598
1190,2019-04-05,7727
1191,2019-04-06,6925
1192,2019-04-07,7735
1193,2019-04-08,5226
1194,2019-04-09,14467
1195,2019-04-10,13076
1196,2019-04-11,3325
1197,2019-04-12,3995
1198,2019-04-13,5589
1199,2019-04-14,15186
1200,2019-04-15,15117
1201,2019-04-16,12826
1202,2019-04-17,14150
1203,2019-04-18,4038
1204,2019-04-19,8161
1205,2019-04-20,8774
1206,2019-04-21,15565
1207,2019-04-22,14741
1208,2019-04-23,13041
1209,2019-04-24,10105
1210,2019-04-25,8235
1211,2019-04-26,15884
1212,2019-04-27,13200
1213,2019-04-28,12328
1214,2019-04-29,14852
1215,2019-04-30,14818
1216,2019-05-01,14845
1217,2019-05-02,11888
1218,2019-05-03,13428
1219,2019-05-04,6220
1220,2019-05-05,14226
1221,2019-05-06,14063
1222,2019-05-07,13856
1223,2019-05-08,15390
1224,2019-05-09,7608
1225,2019-05-10,7895
1226,2019-05-11,5432
1227,2019-05-12,10775
1228,2019-05-13,13679
1229,2019-05-14,16542
1230,2019-05-15,16206
1231,2019-05-16,12250
1232,2019-05-17,16018
1233,2019-05-18,16181
1234,2019-05-19,14631
1235,2019-05-20,16676
1236,2019-05-21,10051
1237,2019-05-22,7098
1238,2019-05-23,15511
1239,2019-05-24,15709
1240,2019-05-25,16482
1241,2019-05-26,14852
1242,2019-05-27,15989
1243,2019-05-28,15257
1244,2019-05-29,15871
1245,2019-05-30,12956
1246,2019-05-31,14197
1247,2019-06-01,13854
1248,2019-06-02,15183
1249,2019-06-03,15511
1250,2019-06-04,9166
1251,2019-06-05,12342
1252,2019-06-06,4508
1253,2019-06-07,6387
1254,2019-06-08,4756
1255,2019-06-09,12001
1256,2019-06-10,15266
1257,2019-06-11,4790
1258,2019-06-12,10904
1259,2019-06-13,17932
1260,2019-06-14,17139
1261,2019-06-15,15771
1262,2019-06-16,15316
1263,2019-06-17,13721
1264,2019-06-18,10217
1265,2019-06-19,12573
1266,2019-06-20,16117
1267,2019-06-21,10788
1268,2019-06-22,9432
1269,2019-06-23,16315
1270,2019-06-24,14794
1271,2019-06-25,14038
1272,2019-06-26,13409
1273,2019-06-27,13831
1274,2019-06-28,15780
1275,2019-06-29,16171
1276,2019-06-30,15395
1277,2019-07-01,16345
1278,2019-07-02,16335
1279,2019-07-03,9600
1280,2019-07-04,15102
1281,2019-07-05,12694
1282,2019-07-06,10139
1283,2019-07-07,13420
1284,2019-07-08,7265
1285,2019-07-09,13093
1286,2019-07-10,14373
1287,2019-07-11,11999
1288,2019-07-12,15020
1289,2019-07-13,15636
1290,2019-07-14,13068
1291,2019-07-15,12274
1292,2019-07-16,13391
1293,2019-07-17,13588
1294,2019-07-18,12780
1295,2019-07-19,9664
1296,2019-07-20,15436
1297,2019-07-21,13748
1298,2019-07-22,3510
1299,2019-07-23,14628
1300,2019-07-24,15124
1301,2019-07-25,11554
1302,2019-07-26,11886
1303,2019-07-27,13665
1304,2019-07-28,12446
1305,2019-07-29,15630
1306,2019-07-30,12653
1307,2019-07-31,12828
1308,2019-08-01,11032
1309,2019-08-02,11799
1310,2019-08-03,9041
1311,2019-08-04,7662
1312,2019-08-05,14128
1313,2019-08-06,12204
1314,2019-08-07,15190
1315,2019-08-08,15043
1316,2019-08-09,13422
1317,2019-08-10,11750
1318,2019-08-11,12917
1319,2019-08-12,9735
1320,2019-08-13,13005
1321,2019-08-14,10174
1322,2019-08-15,10870
1323,2019-08-16,13048
1324,2019-08-17,13759
1325,2019-08-18,10673
1326,2019-08-19,10646
1327,2019-08-20,11084
1328,2019-08-21,11209
1329,2019-08-22,11622
1330,2019-08-23,2103
1331,2019-08-24,7358
1332,2019-08-25,10213
1333,2019-08-26,8004
1334,2019-08-27,10052
1335,2019-08-28,14671
1336,2019-08-29,14467
1337,2019-08-30,14161
1338,2019-08-31,13119
1339,2019-09-01,12501
1340,2019-09-02,12062
1341,2019-09-03,9258
1342,2019-09-04,1404
1343,2019-09-05,12522
1344,2019-09-06,11727
1345,2019-09-07,12219
1346,2019-09-08,8730
1347,2019-09-09,12569
1348,2019-09-10,12253
1349,2019-09-11,11486
1350,2019-09-12,6810
1351,2019-09-13,7894
1352,2019-09-14,8684
1353,2019-09-15,12416
1354,2019-09-16,11065
1355,2019-09-17,10987
1356,2019-09-18,12867
1357,2019-09-19,12809
1358,2019-09-20,12064
1359,2019-09-21,11772
1360,2019-09-22,11925
1361,2019-09-23,12045
1362,2019-09-24,10872
1363,2019-09-25,10243
1364,2019-09-26,9663
1365,2019-09-27,10522
1366,2019-09-28,10142
1367,2019-09-29,7339
1368,2019-09-30,9213
1369,2019-10-01,9828
1370,2019-10-02,10751
1371,2019-10-03,9213
1372,2019-10-04,3872
1373,2019-10-05,7222
1374,2019-10-06,7014
1375,2019-10-07,2207
1376,2019-10-08,8758
1377,2019-10-09,10539
1378,2019-10-10,10420
1379,2019-10-11,8705
1380,2019-10-12,2615
1381,2019-10-13,10683
1382,2019-10-14,8694
1383,2019-10-15,3344
1384,2019-10-16,10176
1385,2019-10-17,10285
1386,2019-10-18,5844
1387,2019-10-19,2705
1388,2019-10-20,8480
1389,2019-10-21,2616
1390,2019-10-22,9791
1391,2019-10-23,9642
1392,2019-10-24,6038
1393,2019-10-25,7809
1394,2019-10-26,5694
1395,2019-10-27,9002
1396,2019-10-28,3895
1397,2019-10-29,1208
1398,2019-10-30,3448
1399,2019-10-31,9117
1400,2019-11-01,8444
1401,2019-11-02,8775
1402,2019-11-03,6961
1403,2019-11-04,6891
1404,2019-11-05,8334
1405,2019-11-06,6620
1406,2019-11-07,8554
1407,2019-11-08,8256
1408,2019-11-09,7969
1409,2019-11-10,6702
1410,2019-11-11,698
1411,2019-11-12,8080
1412,2019-11-13,3159
1413,2019-11-14,1158
1414,2019-11-15,3459
1415,2019-11-16,6815
1416,2019-11-17,2139
1417,2019-11-18,3933
1418,2019-11-19,7231
1419,2019-11-20,6088
1420,2019-11-21,3015
1421,2019-11-22,697
1422,2019-11-23,7124
1423,2019-11-24,7091
1424,2019-11-25,5854
1425,2019-11-26,899
1426,2019-11-27,6168
1427,2019-11-28,6367
1428,2019-11-29,1321
1429,2019-11-30,2016
1430,2019-12-01,4226
1431,2019-12-02,5932
1432,2019-12-03,5834
1433,2019-12-04,6782
1434,2019-12-05,2317
1435,2019-12-06,6456
1436,2019-12-07,4913
1437,2019-12-08,2012
1438,2019-12-09,2364
1439,2019-12-10,5670
1440,2019-12-11,6677
1441,2019-12-12,447
1442,2019-12-13,3435
1443,2019-12-14,6382
1444,2019-12-15,5845
1445,2019-12-16,486
1446,2019-12-17,6669
1447,2019-12-18,6604
1448,2019-12-19,6455
1449,2019-12-20,3781
1450,2019-12-21,2238
1451,2019-12-22,615
1452,2019-12-23,5723
1453,2019-12-24,6026
1454,2019-12-25,5679
1455,2019-12-26,4210
1456,2019-12-27,5133
1457,2019-12-28,2777
1458,2019-12-29,3967
1459,2019-12-30,6573
